Hello, Hopalong Singh!	哈囉，阿星大俠！
Hello, stranger. I haven't seen you around these parts before. I know it's none of my business, but why are you sitting on top of an active anthill in the heat of this semi-desert sun?	你好啊，陌生人。俺以前沒在這一帶見過你。俺知道這不關俺的事，不過你幹嘛頂著這半沙漠的大太陽，坐在一座活蟻丘上頭啊？
Oh, my formal fellow, I am but a weary traveler from a land far, far away, journeying here peacefully merely to experience the curative powers of your local mineral waters.	喔，這位客氣的朋友，在下不過是位來自遙遠國度的疲憊旅人，和平地前來，只為體驗貴地礦泉水的療效罷了。
How cruel those Yosemite-bound tourists are! My name is Frederick Pharkas. I own the local pharmacy here in Coarsegold.	那些前往優勝美地的觀光客也未免太狠心了！在下名叫佛萊德里克·法卡斯，是這粗金鎮上藥局的老闆。
How do you do, Mr. Pharkas? My name is Srini Lalkaka Bagdnish. Pardon me if I don't get up.	你好啊，法卡斯先生。在下名叫斯里尼·拉爾卡卡·巴格尼許。恕在下失禮，無法起身相迎。
(TO SELF) Hmmm, I've been considering taking on a "loyal Indian sidekick!"	（自言自語）嗯，俺一直在考慮找個「忠心耿耿的印第安夥伴」呢！
(ALOUD) I'm seeking a new assistant down at the pharmacy? Would you be considering a relocation to this area? You know, Coarsegold offers extremely reasonable housing costs and an abundance of sunny weather.	（大聲說）俺這藥局在找新助手，你考慮搬來這一帶嗎？你知道的，粗金鎮的房價非常實惠，而且陽光普照。
Well, no, not really, but yes. Perhaps I would be willing. But, as you can readily see, I'm quite busy at this current moment.	這個嘛，不算是，但也算是。在下或許會願意考慮。不過，你也看得出來，在下此刻可有點忙。
Have you considered climbing down and walking away?	你有沒有考慮過乾脆爬下來，走人算了？
I can not possibly do that! Life is sacred. If I were to move, I should indubitably injure some of these small six-legged lifeforms. I'm sure someone will come along soon to the aid of me.	在下萬萬不能那麼做！生命是神聖的。在下若是移動，必定會傷及這些六足小生靈。在下相信很快就會有人前來相助。
I'll see what I can do, Srini.	俺會想想辦法的，斯里尼。
Allow me to brush that dust off your robe, my friend.	讓俺幫你把袍子上的灰塵拍一拍吧，朋友。
My thank yous are very much, Mr. Freddy!	在下萬分感謝，佛萊迪先生！
May I help you down?	俺能扶你下來嗎？
While I appreciate your offer of help, I must remain here. I simply cannot harm an ant, and I can presently ascertain no effective means of dismounting this anthill without hurting another living creature.	在下雖感激你的好意，卻必須留在這裡。在下絕不能傷害任何一隻螞蟻，而目前也想不出任何能不傷及其他生靈，又能離開這蟻丘的辦法。
How gracious to offer me an empty can of beans! I am afraid I am having not a use in mind for such a can of nothing.	你竟願意給在下一個空豆子罐頭，真是太慷慨了！只可惜在下實在想不出這種空罐頭有什麼用處。
I am afraiding the ice pick will not present me with any assistance.	在下恐怕這把冰鑿幫不上任何忙。
The charcoal is a most gracious offer, however I am having no hibachi at this moment.	這炭真是慷慨的贈禮，不過在下此刻並沒有火盆可用。
Rein? Rein? Go away, come again another day. That is a poem which I just conceived.	韁繩？韁繩？快走開，改天再來。這是在下剛剛即興作的一首詩。
I do not eat beef, snails, or ham. I do not eat them, Fred, I am.	在下不吃牛肉、蝸牛，也不吃火腿。在下就是不吃這些，佛萊迪，不吃就是不吃。
I am not needing empty bottles. I have already evacuated myself several times, with great ceremony.	在下不需要空瓶子。在下已經隆重地排解過好幾次了。
I am thinking a key is not opening the way to escape for me, though yours is a most gracious offer.	在下認為一把鑰匙開不出逃脫的路，不過你的好意在下心領了。
The ladder might assist my situation, however I am not in positioning to maneuver it thusly to facilitate escapage.	梯子或許能幫上在下的處境，不過在下目前的姿勢實在無法操作它來助在下脫身。
Unfortunately, I am not conversant with the traditional rope-climbing trick of my countrymen, and thus your rope will not be of helpage.	很不巧，在下並不熟悉同胞那套傳統的爬繩戲法，因此你這條繩子幫不上忙。
I am not caring to be lassoed, thank you! I prefer to die with dignity than be yanked so unceremoniously like a most common livestock.	在下可不想被套索套住，謝了！在下寧可有尊嚴地死去，也不願像尋常牲畜一樣被這麼粗魯地拖走。
A candle wax is a most beautiful thing to become one with, but I am afraid my ability to commune with paraffin has been impaired upon my present situation.	蠟燭是件能與之合而為一的美妙之物，但在下恐怕以目前的處境，實在無法與石蠟好好溝通了。
I am appreciating the offer now! However, no matter which clothes I am appareling, my predicament remains a puzzlement.	在下此刻十分感激你的好意！不過，無論在下穿上哪件衣物，眼下的困境依然是個謎團。
It will be ready Tuesday. Just having a joke upon you. I know nothing of this claim check.	星期二就會好了。開個玩笑罷了，在下對這張取件單一無所知。
Wanna put the boots on? That way, at least you wouldn't be walking on ants in your bare feet!	要不要把靴子穿上？這樣至少你不會光著腳踩在螞蟻上！
Ah, that is generously of an idea, but I still would end up putting to an end the lives of many precious ants.	啊，這主意真是慷慨，不過在下終究還是會結束許多寶貴螞蟻的性命。
I am not caring to read your personal mail right this dying moment!	在下這垂死的時刻，可沒興趣讀你的私人信件！
I prefer not to ingest the prescriptions of others, although I am thanking you presently.	在下寧可不服用他人的處方箋，不過此刻仍要謝謝你。
