Welp, bring it back when it's full, and we'll get stinkin'!	啊，裝滿了再拿回來，咱倆好好喝個痛快！
Hello, Flies! If I chase that nasty ol' Mom away with a stick, will you give help me find a magic key or something?	嗨，蒼蠅們！要是我拿棍子把那個討厭的老媽趕跑，你們願意幫我找把魔法鑰匙之類的東西嗎？
They just buzz at you a little bit. Don't forget, this ain't fantasy, this is REALITY!	牠們只是對你嗡嗡叫了幾聲。別忘了，這裡不是奇幻世界，這是現實！
Mom would cut off your testicles and serve them for lunch. Knowing the locals, they'd enjoy 'em!	老媽會把你的睪丸割下來當午餐上桌。就這裡的居民來說，他們搞不好還吃得津津有味！
Helen Back, a.k.a. "Mom," loves to decorate her dining room with fresh-cut flowers. But since there are no flowers in Coarsegold, she makes do with these sprouted collard green tops.	海倫·貝克，也就是「老媽」，很喜歡用新鮮花朵裝飾她的餐廳。可是粗金鎮沒有花，她只好將就用這些發芽的羽衣甘藍菜頭充數。
Hmmph. Dunno who around here will eat these, since they don't give you gas, but I'll put them in a bag of cornstarch and think about it. And I suppose a thank-you is in order, so thank you.	哼。也不知道這附近誰會吃這個，反正它們也不會讓人脹氣，不過我會先裝進玉米粉袋裡再考慮考慮。而且我想我是該說聲謝謝，那就謝了。
Are you implying that my customers are in need of bicarbonate?	你這是在暗示我的客人都需要吃胃藥嗎？
You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!	你可真敢講！至少我的客人走進門的時候還沒生病！
You narrowly avoid making an obvious comeback.	你差點就要脫口說出一句顯而易見的回嘴，還好忍住了。
Do you see a liquor license anywhere on the wall?	你有在牆上看到什麼賣酒執照嗎？
Then take that out of here before I get my butt hauled into the pokey!	那就快把那東西拿出去，免得我的屁股被抓去蹲苦窯！
Are you implying that my steaks are as tough as leather?	你這是在暗示我的牛排跟皮革一樣硬嗎？
Not at all, I was just...	完全沒有，我只是……
Take those smelly old things out of here before I lose any sense of aroma I might already have had.	快把那些臭烘烘的老東西拿出去，免得我僅存的一點嗅覺也跟著報銷。
Those are certainly not fit for human consumption!	那些東西絕對不適合人類食用！
But then, what in this Cafe IS?	話說回來，這間餐館裡到底有什麼東西適合？
If it isn't carnauba wax, take it away.	如果那不是巴西棕櫚蠟，就拿走吧。
# NOTE: L67 "Potatoe sackse." 為刻意錯字(影射 Dan Quayle 拼錯 potato 的哏),中文譯文用「暑」代替「薯」保留錯字笑點,非翻譯疏漏。
# NOTE: L68 "They'r note fore sal." 同為刻意錯字招牌,中文用「事」代「是」、「滴」代「的」模擬手寫錯字感,無法逐字對應原文錯字位置。
# NOTE: L74 "premarital sacks" 雙關 premarital sex(婚前性行為)與 sacks(麵粉袋),中譯借「禁袋」諧「禁果」勉強保留雙關,效果不如原文直接。
# NOTE: L119 "makes TWO big cranks they've got in this store" 原文語意含糊,疑似雙關 crank(搖柄/怪脾氣老頭),中文以「搖桿(老頑固)」保留可能雙關但不夠明確,建議之後校對確認原意。
# NOTE: L121 "(PUNCH LINE) Divorced? On what grounds?" 疑為系統/劇本標記而非玩家可見文字;grounds 雙關咖啡渣與離婚理由,中譯補「渣」字保留雙關,「(PUNCH LINE)」暫譯為「(哏)」,若實為隱藏標記請忽略此括號翻譯。
