That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
You don't have a horse, whatta you need a saddle for?	You don't have a horse, whatta you need a saddle for?
If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.	If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.
From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!	From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!
You know it does no good to close the barn door once the Smithie's gone away!	You know it does no good to close the barn door once the Smithie's gone away!
Let Smithie decide if he wants his doors open or closed.	Let Smithie decide if he wants his doors open or closed.
Smithie has truly left town for good.	Smithie has truly left town for good.
It's the door to Smithie's Blacksmith shop.	It's the door to Smithie's Blacksmith shop.
I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!	I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!
Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!	Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!
Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.	Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.
Smithie, the village blacksmith, is a real hulk of humanity.	Smithie, the village blacksmith, is a real hulk of humanity.
Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!	Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!
I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.	I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.
You know, Smithie, I've been wondering about that horse of yours. What happened?	You know, Smithie, I've been wondering about that horse of yours. What happened?
Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!	Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!
How's business, Smithie?	How's business, Smithie?
Flatter'n cow plop, Pharkas! An' you?	Flatter'n cow plop, Pharkas! An' you?
Actually, I'm doing okay. Not great, but I'm making it... in spite of this mild economic downturn we've been experiencing.	Actually, I'm doing okay. Not great, but I'm making it... in spite of this mild economic downturn we've been experiencing.
Bah! If'n I could find me a buyer, I'd unload this dump in a second!	Bah! If'n I could find me a buyer, I'd unload this dump in a second!
Whoa! Thank ya, Mr. Pharkas. I always love a belt about this time o' the mornin'!	Whoa! Thank ya, Mr. Pharkas. I always love a belt about this time o' the mornin'!
You recall with fondness, that wonderful old blacksmith who used to operate this shop. What the hell was his name, anyway?	You recall with fondness, that wonderful old blacksmith who used to operate this shop. What the hell was his name, anyway?
"Under the village chestnut tree, the spreading smithie stands..." ...No wait, that's not how it goes.	"Under the village chestnut tree, the spreading smithie stands..." ...No wait, that's not how it goes.
Mr. Smith, the village blacksmith, is locally known as "Smithie" to his friends and customers.	Mr. Smith, the village blacksmith, is locally known as "Smithie" to his friends and customers.
To the best of your recollection, you've never even heard his first name, not that it matters much. "Smithie" seems like a perfect name for a smithie!	To the best of your recollection, you've never even heard his first name, not that it matters much. "Smithie" seems like a perfect name for a smithie!
Hey, knock off the sound effects already!	Hey, knock off the sound effects already!
You take the leather strap. Smithie won't be needing it now, wherever he is!	You take the leather strap. Smithie won't be needing it now, wherever he is!
A length of leather bridle hangs on the Smithie's door.	A length of leather bridle hangs on the Smithie's door.
Feels just like the streets of St. Louis... only some of the streets of St. Louis are paved!	Feels just like the streets of St. Louis... only some of the streets of St. Louis are paved!
Once Coarsegold's brave pioneer settlers predicted Main Street would rival the Champs d'Elysee, Van Ness Boulevard, or Broadway. Now it rivals the Oregon Trail and is about as smooth!	Once Coarsegold's brave pioneer settlers predicted Main Street would rival the Champs d'Elysee, Van Ness Boulevard, or Broadway. Now it rivals the Oregon Trail and is about as smooth!
There's nobody buried under the street here. (After all, this is when the word Teamsters began with a lowercase T!)	There's nobody buried under the street here. (After all, this is when the word Teamsters began with a lowercase T!)
You don't need any algae.	You don't need any algae.
Horses always appreciate a drink of nice fresh water from these green slimy troughs.	Horses always appreciate a drink of nice fresh water from these green slimy troughs.
It's just an old wreck. It won't help you.	It's just an old wreck. It won't help you.
This wagon has been lying here in this sad state of disrepair ever since Mr. Leech, the carriage-maker, headed back East to Detroit.	This wagon has been lying here in this sad state of disrepair ever since Mr. Leech, the carriage-maker, headed back East to Detroit.
Oooph!	Oooph!
You've always assumed the Golden Balls Saloon must once have been a pawn shop.	You've always assumed the Golden Balls Saloon must once have been a pawn shop.
You leave that Saloon right where it is, buckaroo.	You leave that Saloon right where it is, buckaroo.
Mom's Cafe must have good food-- it's where all the stagecoaches stop!	Mom's Cafe must have good food-- it's where all the stagecoaches stop!
You can't reach it from here, but you can just see that thin layer of cooking grease glistening off the building.	You can't reach it from here, but you can just see that thin layer of cooking grease glistening off the building.
Peering through Mom's greasy glass, you can see she's open for business. You've always been fond of Mom's cooking... at least, the first time it goes down!	Peering through Mom's greasy glass, you can see she's open for business. You've always been fond of Mom's cooking... at least, the first time it goes down!
You feel a twinge of guilt, knowing you were at least partially responsible for Mom's closing. You vow to make it up to her, somehow.	You feel a twinge of guilt, knowing you were at least partially responsible for Mom's closing. You vow to make it up to her, somehow.
If Mom catches you smearing her windows, she'll smear your face.	If Mom catches you smearing her windows, she'll smear your face.
Rain barrels are such an important aspect of life in an arid, drought-scourged landscape like this. Water running off the buildings' roofs is channeled through gutters and downspouts into storage... Oh, wait a minute. This is just an old whisky barrel. Forget it!	Rain barrels are such an important aspect of life in an arid, drought-scourged landscape like this. Water running off the buildings' roofs is channeled through gutters and downspouts into storage... Oh, wait a minute. This is just an old whisky barrel. Forget it!
No, no, no! |c2|Tuesday|c| is your turn in the barrel!	No, no, no! |c2|Tuesday|c| is your turn in the barrel!
You do your "Peeping Freddy" routine with the Hotel window. Furtive shadows steal across the walls inside. What little light seeps into the Hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)	You do your "Peeping Freddy" routine with the Hotel window. Furtive shadows steal across the walls inside. What little light seeps into the Hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)
You address the hotel window:	You address the hotel window:
You've made yourself perfectly clear! Hee hee hee!	You've made yourself perfectly clear! Hee hee hee!
(You're losing it, Freddy.)	(You're losing it, Freddy.)
Rubbing your finger on the hotel window barely removes any dirt. (Apparently there was more dirt going on INside than OUTside!)	Rubbing your finger on the hotel window barely removes any dirt. (Apparently there was more dirt going on INside than OUTside!)
You really can't reach that window from here. But hey, a Pharmacist's reach should exceed his grasp!	You really can't reach that window from here. But hey, a Pharmacist's reach should exceed his grasp!
It's locked, stock and barrel!	It's locked, stock and barrel!
Your arms aren't quite that long!	Your arms aren't quite that long!
Mom's Cafe awaits the hearty traveler who has a thing for good food-- but isn't afraid to eat here anyway!	Mom's Cafe awaits the hearty traveler who has a thing for good food-- but isn't afraid to eat here anyway!
A crudely-lettered sign reads, "Mom's's Cafe's dun bin closed by order of the sheriff. Health Code violations is all the reason he needs!"	A crudely-lettered sign reads, "Mom's's Cafe's dun bin closed by order of the sheriff. Health Code violations is all the reason he needs!"
Mom's closes up at night, ever since the Great Kerosene Shortage of '85.	Mom's closes up at night, ever since the Great Kerosene Shortage of '85.
Heeeelllloooooow!	Heeeelllloooooow!
But there is no response from within Mom's Cafe.	But there is no response from within Mom's Cafe.
Mom! I'm hungry!	Mom! I'm hungry!
From inside, you hear Mom reply, "You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!"	From inside, you hear Mom reply, "You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!"
It's locked! Mom's is closed! Sheriff Shift strikes again! (And stomachs all over town are heaving... sighs of relief!)	It's locked! Mom's is closed! Sheriff Shift strikes again! (And stomachs all over town are heaving... sighs of relief!)
Mom's seems to be locked.	Mom's seems to be locked.
Going to swing down like Tarzan? Wrong kinda movie!	Going to swing down like Tarzan? Wrong kinda movie!
The Golden Balls Saloon is presently open. Since it only has swinging doors, it's ALWAYS open!	The Golden Balls Saloon is presently open. Since it only has swinging doors, it's ALWAYS open!
The remains of the Sugar Pine & Coarsegold's Engineer's Shack lie rotting on the south side of Main Street.	The remains of the Sugar Pine & Coarsegold's Engineer's Shack lie rotting on the south side of Main Street.
Don't go poking in that hazardous eyesore. (The same warning applies to the Brothel!)	Don't go poking in that hazardous eyesore. (The same warning applies to the Brothel!)
These hitching posts serve as an excellent means of stabilizing unmanned horses.	These hitching posts serve as an excellent means of stabilizing unmanned horses.
You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, not the post.)	You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, not the post.)
Peering between every crack in the hotel's board sidewalk makes you 'board' yourself!	Peering between every crack in the hotel's board sidewalk makes you 'board' yourself!
You rip the porch off of the hotel and put it in your pocket, just in case you need a porch later in the game. Kidding. Just a little adventure game humor there. Don't bother looking in your inventory.	You rip the porch off of the hotel and put it in your pocket, just in case you need a porch later in the game. Kidding. Just a little adventure game humor there. Don't bother looking in your inventory.
You can't reach the porch from here.	You can't reach the porch from here.
Ah, many's the young cowpoke who had to quickly lower himself off of this balcony with a bunch of knotted sheets. (Usually stark nekkid!)	Ah, many's the young cowpoke who had to quickly lower himself off of this balcony with a bunch of knotted sheets. (Usually stark nekkid!)
Considering all the abuse given to this balcony over the years from stuntmen, it's in surprisingly good shape.	Considering all the abuse given to this balcony over the years from stuntmen, it's in surprisingly good shape.
Mom's front porch is almost as large as her rear entry.	Mom's front porch is almost as large as her rear entry.
Poor Mom. You almost wish you hadn't dumped that horse patty inside her eating area. But-- you vow to make it up to her somehow!	Poor Mom. You almost wish you hadn't dumped that horse patty inside her eating area. But-- you vow to make it up to her somehow!
Many an early-morning customer of yours has spent the night sleeping on these well-stained boards.	Many an early-morning customer of yours has spent the night sleeping on these well-stained boards.
They hang porch-rustlers in these parts.	They hang porch-rustlers in these parts.
The door to the Hotel is locked. The hotel was shut down unexpectedly. This put a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)	The door to the Hotel is locked. The hotel was shut down unexpectedly. This put a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)
Anybody in there?	Anybody in there?
There's no response.	There's no response.
Okay, I'll take that as a "no!"	Okay, I'll take that as a "no!"
You yank the knob a few times, but nothing happens. Then you try to open the door to the closed Hotel. No luck there, either.	You yank the knob a few times, but nothing happens. Then you try to open the door to the closed Hotel. No luck there, either.
That would be quite a trick... opening the Hotel door from the balcony. You're not quite up to it. (Or down to it, as the case may be!)	That would be quite a trick... opening the Hotel door from the balcony. You're not quite up to it. (Or down to it, as the case may be!)
Once the heart of a thriving business district, there's not much left of beautiful downtown Coarsegold now.	Once the heart of a thriving business district, there's not much left of beautiful downtown Coarsegold now.
Und chust how long haf you had zees desire to talk mit inanimate objects?	Und chust how long haf you had zees desire to talk mit inanimate objects?
It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless"?)	It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless"?)
The ground is too hard-packed here.	The ground is too hard-packed here.
Sam Andreas has a tough time keeping these large plate glass windows intact, since he's developed a habit of throwing rowdies out through them!	Sam Andreas has a tough time keeping these large plate glass windows intact, since he's developed a habit of throwing rowdies out through them!
Careful, you never know when some airborne wino is going to come flying outta that window.	Careful, you never know when some airborne wino is going to come flying outta that window.
Now there's a guy who's in constant pane!	Now there's a guy who's in constant pane!
Poor fellow. It doesn't pay to pick a fight with Sam Andreas!	Poor fellow. It doesn't pay to pick a fight with Sam Andreas!
There's no use talking to him. He's out cold.	There's no use talking to him. He's out cold.
You'd like to help him. But he IS full of shards of glass, and you HATE the sight of blood!	You'd like to help him. But he IS full of shards of glass, and you HATE the sight of blood!
He doesn't need anything except a lifetime supply of Mercurochrome!	He doesn't need anything except a lifetime supply of Mercurochrome!
The window has been smashed into teeny weeny pieces. Fortunately, Sam has the foresight to install Safety Glass!	The window has been smashed into teeny weeny pieces. Fortunately, Sam has the foresight to install Safety Glass!
Cutting yourself on the sharp edges of the broken window might make for some memorably disgusting animation, but it would also be an incredibly stupid thing for you to do.	Cutting yourself on the sharp edges of the broken window might make for some memorably disgusting animation, but it would also be an incredibly stupid thing for you to do.
Poor Sam Andreas! It's a good thing he waters down his whisky so much, or else all of his profits would be consumed by glaziers.	Poor Sam Andreas! It's a good thing he waters down his whisky so much, or else all of his profits would be consumed by glaziers.
You are surprised to see Billy, the town handyman, boarding up The Dirty Sheet Hotel.	You are surprised to see Billy, the town handyman, boarding up The Dirty Sheet Hotel.
Don't you find it frustrating to keep replacing that plate glass, Billy?	Don't you find it frustrating to keep replacing that plate glass, Billy?
Nope. I find it a real crack-up.	Nope. I find it a real crack-up.
Billy, the town handyman and jack-of-all-trades, is boarding up yet another Coarsegold business, the "Dirty Sheets Hotel," the finest hostelry in all of Eastern Madera County. (Okay, so maybe it was only the best after that other hotel shut down, but in its day, The Dirty Sheet was really something!)	Billy, the town handyman and jack-of-all-trades, is boarding up yet another Coarsegold business, the "Dirty Sheets Hotel," the finest hostelry in all of Eastern Madera County. (Okay, so maybe it was only the best after that other hotel shut down, but in its day, The Dirty Sheet was really something!)
Say, Billy! When did the ol' Dirty Sheet fold?	Say, Billy! When did the ol' Dirty Sheet fold?
Oh, g'mornin' Mr. Pharkas. Why, just yestaday. It was a surprise to me too. Nobody told me nuttin' 'bout it until they gave me these boards.	Oh, g'mornin' Mr. Pharkas. Why, just yestaday. It was a surprise to me too. Nobody told me nuttin' 'bout it until they gave me these boards.
I'd like to shake your hand, Billy. You are doing a fine job!	I'd like to shake your hand, Billy. You are doing a fine job!
He looks at you a little funny.	He looks at you a little funny.
Here, Billy!	Here, Billy!
No thanks, Mr. Pharkas! I've already got one of those!	No thanks, Mr. Pharkas! I've already got one of those!
Shhhyeah, right.	Shhhyeah, right.
How nice! A pile of horse plop is baking in the sun, right in the middle of the road. (You make a mental note: hurry up and get around to inventing the Poop Scoop.)	How nice! A pile of horse plop is baking in the sun, right in the middle of the road. (You make a mental note: hurry up and get around to inventing the Poop Scoop.)
You bravely, stupidly grab ANOTHER steaming, fly-laden horse plop. This one is even more texturey than the last one!	You bravely, stupidly grab ANOTHER steaming, fly-laden horse plop. This one is even more texturey than the last one!
Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"
It's too dark to make out what's written on that bunting.	It's too dark to make out what's written on that bunting.
The fabric has been pre-treated to resist those pesky dust storms, stampedes, flash floods, tsunamis, monsoons, and droughts.	The fabric has been pre-treated to resist those pesky dust storms, stampedes, flash floods, tsunamis, monsoons, and droughts.
Not from down here, you can't!	Not from down here, you can't!
You've got no reason to put the canister on the railing. (At least, not YET.)	You've got no reason to put the canister on the railing. (At least, not YET.)
|c0|FORESHADOWING ALERT! FORESHADOWING ALERT!|c|	|c0|FORESHADOWING ALERT! FORESHADOWING ALERT!|c|
It's the canister of nitrous oxide. You put it there yourself. Remember?	It's the canister of nitrous oxide. You put it there yourself. Remember?
You decide that the canister of nitrous oxide would look better somewheres else.	You decide that the canister of nitrous oxide would look better somewheres else.
Just fly there. (NOT!!)	Just fly there. (NOT!!)
Freddy Pharkas? You wuz askin' about Freddy Pharkas? The man whut saved Coarsegold, only nobody knowed it wuz him? Why, jes' hop up here on ol' Whittlin' Willy's lap and I'll tell ya all about it.	Freddy Pharkas? You wuz askin' about Freddy Pharkas? The man whut saved Coarsegold, only nobody knowed it wuz him? Why, jes' hop up here on ol' Whittlin' Willy's lap and I'll tell ya all about it.
Apparently Mom's jumping on the comedy bandwagon. The banner reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	Apparently Mom's jumping on the comedy bandwagon. The banner reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"
You've got no reason to put the canister on the railing. At least, not YET.	You've got no reason to put the canister on the railing. At least, not YET.
Mom's Cafe must have good food -- all the stagecoaches stop there!	Mom's Cafe must have good food -- all the stagecoaches stop there!
You decide that the canister of nitrous oxide would look better somewhere else.	You decide that the canister of nitrous oxide would look better somewhere else.
Please, stranger. I'm simply not in the mood. Why don't you go bother Trixie, the Accommodating Sheep?	Please, stranger. I'm simply not in the mood. Why don't you go bother Trixie, the Accommodating Sheep?
Here, Chester. Maybe it'll help you through these tough times.	Here, Chester. Maybe it'll help you through these tough times.
No thank you, sir. I still have my dignity. That's the one thing they can't take away from me.	No thank you, sir. I still have my dignity. That's the one thing they can't take away from me.
You've never seen Chester Field look so downtrodden. Why, he looks like he's lost his best friend. He's wearing a sandwich board, upon which has been VERY hastily scribbled, "Will polish ears for stagecoach fare."	You've never seen Chester Field look so downtrodden. Why, he looks like he's lost his best friend. He's wearing a sandwich board, upon which has been VERY hastily scribbled, "Will polish ears for stagecoach fare."
Polish your ear, Mister? I'm trying to get stagecoach fare to Chicago.	Polish your ear, Mister? I'm trying to get stagecoach fare to Chicago.
No thanks, Chester. I'm broke. But hey, doesn't the trip to Chicago by stagecoach take just about forever?	No thanks, Chester. I'm broke. But hey, doesn't the trip to Chicago by stagecoach take just about forever?
Well, yes, but I've always wanted a life on the stage!	Well, yes, but I've always wanted a life on the stage!
(ba-dump bump!)	(ba-dump bump!)
Hoping Chester won't recognize you with your new disguise, you approach him with a friendly smile.	Hoping Chester won't recognize you with your new disguise, you approach him with a friendly smile.
Say, pardner, that's a woeful little sign you're carrying there, "Will polish ears for stagecoach fare." What's the problem? Why so down on your luck?	Say, pardner, that's a woeful little sign you're carrying there, "Will polish ears for stagecoach fare." What's the problem? Why so down on your luck?
Well, I'll tell you, even though I usually don't talk to silver-disguised strangers. There's a man inside who's the best gol-damned poker cheat I've ever seen. I never even knew he's was stealing my store until it wuz all over. You see, I bet everything I owned, including my store, on a queen-high straight flush! And that son of a gun had a king-high!	Well, I'll tell you, even though I usually don't talk to silver-disguised strangers. There's a man inside who's the best gol-damned poker cheat I've ever seen. I never even knew he's was stealing my store until it wuz all over. You see, I bet everything I owned, including my store, on a queen-high straight flush! And that son of a gun had a king-high!
Don't feel bad, fella, I would have probably done the same. By the way, did you get this gambler's name?	Don't feel bad, fella, I would have probably done the same. By the way, did you get this gambler's name?
Name? Shore did. Wheaton Hall is his name, but everybody calls him 'Aces.' And I kin see why!	Name? Shore did. Wheaton Hall is his name, but everybody calls him 'Aces.' And I kin see why!
Thanks for your time, and I hope things work out for you! I think I might just pay Mr. Aces a little call!	Thanks for your time, and I hope things work out for you! I think I might just pay Mr. Aces a little call!
Good luck to you stranger, if'n yur a'gonna git inta that game!	Good luck to you stranger, if'n yur a'gonna git inta that game!
Thanks. I'm wearing my lucky neckerchief, so I'm not too worried.	Thanks. I'm wearing my lucky neckerchief, so I'm not too worried.
Shhyeah, right. Are those bloodstains on there?	Shhyeah, right. Are those bloodstains on there?
The door to the Hotel is locked. The ol' Dirty Sheet was shut down unexpectedly putting a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)	The door to the Hotel is locked. The ol' Dirty Sheet was shut down unexpectedly putting a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)
Peering between every crack in the hotel's board sidewalk makes you "board" yourself!	Peering between every crack in the hotel's board sidewalk makes you "board" yourself!
You really can't reach that window from here. But hey, a pharmacist's reach should exceed his grasp!	You really can't reach that window from here. But hey, a pharmacist's reach should exceed his grasp!
You do your "Peeping Freddy" routine with the hotel window. Furtive shadows steal across the walls inside. What little light seeps into the hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)	You do your "Peeping Freddy" routine with the hotel window. Furtive shadows steal across the walls inside. What little light seeps into the hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)
It's locked! Mom's is closed! Sheriff Shift strikes again! Stomachs all over town are heaving... but this time it's sighs of relief!	It's locked! Mom's is closed! Sheriff Shift strikes again! Stomachs all over town are heaving... but this time it's sighs of relief!
(OFF MIKE) You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!	(OFF MIKE) You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!
You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, that is!)	You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, that is!)
It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless?")	It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless?")
What are you gonna do, hang off the balcony and steal their hats? Dream on!	What are you gonna do, hang off the balcony and steal their hats? Dream on!
A whole fleet of rowdy cowhands seems to have invaded Main Street. They're shooting around indiscriminately (the barbarians!). Did they do this just for the fun of it? Or did somebody put them up to it?	A whole fleet of rowdy cowhands seems to have invaded Main Street. They're shooting around indiscriminately (the barbarians!). Did they do this just for the fun of it? Or did somebody put them up to it?
That's the germ of an idea. Unfortunately, you need some way to make SURE that gas gets set off!	That's the germ of an idea. Unfortunately, you need some way to make SURE that gas gets set off!
|c0|Hey, you guys! CUT IT OUT!|c|	|c0|Hey, you guys! CUT IT OUT!|c|
They can't even hear you above the sound of their own obnoxious yelling and the frequent gunshots. Looks like you'll have to be just a |c2|bit|c| more forceful.	They can't even hear you above the sound of their own obnoxious yelling and the frequent gunshots. Looks like you'll have to be just a |c2|bit|c| more forceful.
You encounter dozens of rowdy cowhands from that cattle drive outside of town who are carelessly firing their guns everywhere and frightening (not to mention killing) the locals.	You encounter dozens of rowdy cowhands from that cattle drive outside of town who are carelessly firing their guns everywhere and frightening (not to mention killing) the locals.
Luckily, the rowdy cowboys don't notice you from down below.	Luckily, the rowdy cowboys don't notice you from down below.
The Barber Shop is locked up tight at night.	The Barber Shop is locked up tight at night.
This door leads to Salvatore O'Hanahan's combination barber shop and dental emporium. Just don't ask him about his heritage. He's VERY confused.	This door leads to Salvatore O'Hanahan's combination barber shop and dental emporium. Just don't ask him about his heritage. He's VERY confused.
Salvatore O'Hanahan, the town barber, doesn't appreciate men touching his pole.	Salvatore O'Hanahan, the town barber, doesn't appreciate men touching his pole.
Like all proud red-blooded Italian-Irish-American barbers, Salvatore O'Hanahan is extremely proud of his pole. (Actually, he almost had to give it up when they levied an expensive pole tax!)	Like all proud red-blooded Italian-Irish-American barbers, Salvatore O'Hanahan is extremely proud of his pole. (Actually, he almost had to give it up when they levied an expensive pole tax!)
Do you have any relatives named Gallup?	Do you have any relatives named Gallup?
Salvatore O'Hanahan's barber shop and dental emporium is still open for business.	Salvatore O'Hanahan's barber shop and dental emporium is still open for business.
Hey, don't take that sign, it isn't yours. It's Salvatore's. He stole it from a barber shop in San Jose!	Hey, don't take that sign, it isn't yours. It's Salvatore's. He stole it from a barber shop in San Jose!
The sign says "O'Hanahan's Barber Shop."	The sign says "O'Hanahan's Barber Shop."
You can't talk to the sign! (It only knows sign language!)	You can't talk to the sign! (It only knows sign language!)
You wipe a smudge of something off the window.	You wipe a smudge of something off the window.
Hey, this isn't road dirt! It's hair oil!	Hey, this isn't road dirt! It's hair oil!
Peering through the window, you think you see a barber inside!	Peering through the window, you think you see a barber inside!
The stage wuz set fer Freddy's showdown. Wait, did I say "slowdown?" I meant "showdown. No, I DID say "showdown," didn't I? I thought I did, I warn't sure.	The stage wuz set fer Freddy's showdown. Wait, did I say "slowdown?" I meant "showdown. No, I DID say "showdown," didn't I? I thought I did, I warn't sure.
You can't reach it from here. Be VERY thankful!	You can't reach it from here. Be VERY thankful!
Apparently old Mrs. Murphy is either having a bladder control problem or some sort of lower gastro-intestinal difficulty. In either case, she's certainly doing her part to add to Coarsegold's unique "ambience!"	Apparently old Mrs. Murphy is either having a bladder control problem or some sort of lower gastro-intestinal difficulty. In either case, she's certainly doing her part to add to Coarsegold's unique "ambience!"
Hey, Mrs. Murphy! Stop by the Pharmacy, maybe I can help you out.	Hey, Mrs. Murphy! Stop by the Pharmacy, maybe I can help you out.
She calls you something under her breath.	She calls you something under her breath.
Nothing in there worth sticking your finger in. (The same can be said of the brothel!)	Nothing in there worth sticking your finger in. (The same can be said of the brothel!)
The south side of Main Street holds the remains of the railroad's telegraph office.	The south side of Main Street holds the remains of the railroad's telegraph office.
Yep, solid Hotel!	Yep, solid Hotel!
The Dirty Sheet Hotel is the latest victim to the present Coarsegold business slump. They suffered from a severe lack of marketing expertise, as witnessed by their choice of names.	The Dirty Sheet Hotel is the latest victim to the present Coarsegold business slump. They suffered from a severe lack of marketing expertise, as witnessed by their choice of names.
You can't get the Post Office to move no matter how hard you push it. (And it's been that way ever since!)	You can't get the Post Office to move no matter how hard you push it. (And it's been that way ever since!)
The town Post Office was one of the first victims of the city's demise. It's been closed for years	The town Post Office was one of the first victims of the city's demise. It's been closed for years
No need to touch it; it's about to fall off entirely. (Much like tourism in Coarsegold!)	No need to touch it; it's about to fall off entirely. (Much like tourism in Coarsegold!)
This sign proclaims this as the "Post Office."	This sign proclaims this as the "Post Office."
You can't talk to the sign. (It only knows sign language!)	You can't talk to the sign. (It only knows sign language!)
From inside, you think you can hear a voice say, "Sorry, that's not my window."	From inside, you think you can hear a voice say, "Sorry, that's not my window."
The former post office is staffed by a complete work crew. None of them has yet noticed the place closed down years ago.	The former post office is staffed by a complete work crew. None of them has yet noticed the place closed down years ago.
Those boards are nailed in place with rusty, self-tapping 10-penny locking nails with barbed ends. (In other words: no, you can't pry them off!)	Those boards are nailed in place with rusty, self-tapping 10-penny locking nails with barbed ends. (In other words: no, you can't pry them off!)
Looks like the door to the Post Office has been removed and replaced with a less attractive barrier.	Looks like the door to the Post Office has been removed and replaced with a less attractive barrier.
It feels rough, unpleasant, and cheap. (Just like life in Coarsegold!)	It feels rough, unpleasant, and cheap. (Just like life in Coarsegold!)
Coarsegold's Main Street was once the center of a thriving metropolis, driven by the tons of gold found hereabouts. Now it's only a shadow of its former self. Mercantile Street leads away into the distance.	Coarsegold's Main Street was once the center of a thriving metropolis, driven by the tons of gold found hereabouts. Now it's only a shadow of its former self. Mercantile Street leads away into the distance.
The road doesn't need any more potholes, thank you! (But there'd probably be plenty for you to do in Illinois, where potholes are a source of pride!)	The road doesn't need any more potholes, thank you! (But there'd probably be plenty for you to do in Illinois, where potholes are a source of pride!)
In general, you'll have better luck if you try talking to things with MOUTHS!	In general, you'll have better luck if you try talking to things with MOUTHS!
You encounter dozens of those silly ol' rowdy cowhands from that cattle drive outside of town who are carelessly firing their guns everywhere and frightening (not to mention killing) the locals.	You encounter dozens of those silly ol' rowdy cowhands from that cattle drive outside of town who are carelessly firing their guns everywhere and frightening (not to mention killing) the locals.
Suddenly you feel a sharp pain in the chest...	Suddenly you feel a sharp pain in the chest...
You won't need any shcrub.	You won't need any shcrub.
An unusual plant grows here; it's a cross between scrub grass and shrubs. It's called "Shcrub."	An unusual plant grows here; it's a cross between scrub grass and shrubs. It's called "Shcrub."
Chester Field runs one of Coarsegold's few remaining shops. Inside you'll find anything you want (if you don't want anything!).	Chester Field runs one of Coarsegold's few remaining shops. Inside you'll find anything you want (if you don't want anything!).
The store's sealed up tight. Locked. Shuttered. Off-limits. Verbotten. Out of Service. Padlocked. Folded. Bolted. Latched. Finished. Kaput. Ceased to be. It has expired. This is an ex-General Store.	The store's sealed up tight. Locked. Shuttered. Off-limits. Verbotten. Out of Service. Padlocked. Folded. Bolted. Latched. Finished. Kaput. Ceased to be. It has expired. This is an ex-General Store.
