That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
Don't open the corral! You'll let the horses out.	別打開圍欄！你會放跑那些馬。
Don't open the corral! You'll let the sheep out.	別打開圍欄！你會放跑那些羊。
Don't open the corral! There's nothing inside to see.	別打開圍欄！裡面沒什麼好看的。
You can't go digging in the Reverend's corral!	你不能在牧師的圍欄裡亂挖！
You wonder why the waters of Blackwater Creek are so black. And gooey. And disgusting.	你很納悶，黑水溪的水怎麼會這麼黑、這麼黏、這麼噁心。
Wouldn't it be nice to trail your hand lazily in the cool waters of Blackwater Creek? No, it wouldn't, because the currents would lazily rip your arm off.	悠哉地把手伸進黑水溪的清涼溪水裡，是不是很愜意？才不會，因為那股水流會悠哉地把你的手臂扯下來。
The cliffs here drop off sharply, plummeting dramatically to the water below. A guy could get killed walking off there! You make a mental cliffs note to avoid doing so.	這裡的懸崖陡然而下，戲劇性地墜向下方的水面。一個人要是從那裡走下去，可是會沒命的！你在心裡記下一筆「懸崖筆記」，提醒自己千萬別這麼做。
You can't reach the cliffs from here. Besides, your specialty is pharmacology, not geology.	你從這裡搆不到懸崖。再說，你的專長是藥學，不是地質學。
What were you going to try to do, MOVE the cliff one shovelful at a time?	你到底打算怎麼做，一鏟一鏟把整座懸崖搬走嗎？
The Robertson Cliffs overlook the thick, beautiful, shimmering waters of Blackwater Creek. The Old Bridge still offers shaky access to the desert to the west.	羅伯森懸崖俯瞰著黑水溪那濃稠、美麗又波光粼粼的溪水。老橋依然搖搖晃晃地通往西邊的沙漠。
Who, or what, do you think you're talking to?	你以為自己在跟誰，或跟什麼東西講話？
Yes, the scenery is so beautiful that you'd love to take it with you. But you can't. This is real life, not some weird computer game.	沒錯，這片景色美得讓你想把它帶走。但你辦不到。這是真實人生，不是什麼怪電腦遊戲。
There's nothing there to be dug up!	那裡沒什麼好挖的！
A gush of some sort of thick gooey sludge slops over the rapids below.	一股濃稠黏膩的爛泥，嘩啦嘩啦地沖過下方的急流。
You can't reach it from here... fortunately for you! It looks disgusting!	你從這裡搆不到……算你走運！那東西看起來噁心極了！
Ah, a child is playing by the side of the bridge. How delightful!	啊，有個孩子在橋邊玩耍。真是討人喜歡！
'Morning, son! I can remember playing right by this very bridge when I was your age!	早安啊，孩子！我記得我像你這麼大的時候，就是在這座橋邊玩的！
What a liar you are. You were born in Old St. Louie!	你這人真會扯謊。你明明是在老聖路易出生的！
Oh, yeah?	噢，是嗎？
Yeah, I listened to the Prologue like everybody else. In fact, I can't get the darned thing out of my head. I've been hearing it in my sleep. Thanks, loads.	對啊，我跟大家一樣聽過序章。老實說，那玩意兒在我腦子裡揮之不去。我連睡覺都在聽。真是謝謝你囉。
Even during these violent and lawless times, kidnapping is frowned upon.	即使是在這個暴力又無法無天的年代，綁架小孩還是會被人白眼的。
This child's parents always said not to take strange objects from pharmacists.	這孩子的爸媽總是說，別隨便收下藥劑師給的怪東西。
How nice! Clarice, one of the Reverend's sheep, is grazing in the grass where the horses once frolicked. (No doubt the Reverend, sooner or later, will have both sheep for dinner!)	真好！牧師的其中一隻羊克萊麗絲，正在馬兒曾經嬉戲的草地上吃草。（毫無疑問，牧師遲早會把這兩隻羊都拿來當晚餐！）
One of Reverend Sy's horses is out frolicking in the spring sun. Well, maybe it's not FROLICKING exactly.	賽伊牧師的其中一匹馬正在春陽下嬉戲。呃，也許稱不上是「嬉戲」啦。
It's a horse! No, it's a sheep! No need to fight, kids! It's BOTH! It's a "heep!" (Or maybe a shorse?)	是馬！不，是羊！孩子們，別吵了！兩個都是！這是隻「羊馬」！（或者該說是「馬羊」？）
Here, sheep, sheep, sheep!	過來，羊羊羊！
Clarice the Lamb remains silent. She seems to be smiling quietly to herself about something. How mysterious!	羔羊克萊麗絲一聲不吭。她似乎在為某件事暗自竊笑。真是神秘！
Here, horsey, horsey, horsey!	過來，馬兒馬兒馬兒！
There's no response. Maybe he's too horse to talk right now!	沒有反應。也許牠現在「馬」不出話來！
Here, heep, heep, heep!	過來，羊馬羊馬羊馬！
This creature ignores you, so you try again.	這隻生物不理你，於是你又試了一次。
Here, shorsey, shorsey, shorsey!	過來，馬羊馬羊馬羊！
This one is apparently way too concerned with racial separatism and the effects of cross-breeding in the barn to bother with you.	這隻顯然正忙著煩惱穀倉裡的種族隔離問題和雜交效應，沒空理你。
You don't need a sheep to finish the game. (Though we wanted to put one in the box for each and every one of you!)	你不需要一隻羊也能破完這款遊戲。（雖然我們本來想在每個包裝盒裡都塞一隻真羊給大家！）
The horse is humming "Don't Fence Me In" and doesn't care to be petted.	這匹馬正哼著〈別把我關起來〉，沒興趣讓你摸。
You can't reach that heep from here! And you're not sure you want to!	你從這裡搆不到那隻羊馬！而且你也不太確定自己想不想搆到！
The good Reverend has set Hannibal, one of his sheep, out to graze.	這位善心的牧師把他的其中一隻羊漢尼拔放出來吃草。
This is one of Reverend Sy Hallelujah's horses. (Or so you've herd!)	這是賽伊·哈利路亞牧師的其中一匹馬。（起碼馬群裡是這麼傳的！）
Hmmm, maybe the Reverend should separate the horses from the sheep in the stables from now on!	嗯，也許牧師從現在起該把馬廄裡的馬和羊分開來養！
Hannibal the Lamb remains silent. He appears to be stealing glances back at the stable, where the horses are hanging out. What GIVES between these animals?	羔羊漢尼拔一聲不吭。他似乎不斷偷瞄馬廄那邊、馬兒閒晃的地方。這些動物之間到底是怎麼回事？
Here, horsey! Here, horsey!	過來，馬兒！過來，馬兒！
The horse seems to be saying, "Here, meaning what? Here, meaning if I come over there, I'll get a patronizing pat on the nose for my trouble? I smell no carrots on you! I smell no lumps of sugar! Forget you!"	這匹馬似乎在說：「過來？過來是什麼意思？過來的意思是說，我走過去只換來你敷衍地拍拍我的鼻子？我可沒聞到你身上有紅蘿蔔！也沒聞到方糖的味道！休想！」
He... she... IT... doesn't even look your way, so you try another approach:	牠……她……牠……根本連看都不看你一眼，於是你換個方式再試一次：
This one seems to be way too burdened with its own identity problems to bother conversing with you.	這隻似乎正忙著煩惱自己的身分認同問題，沒空跟你聊天。
The sheep doesn't need any of your help to climb over the fence!	這隻羊爬過圍籬不需要你幫忙！
The horse is too far back from the fence for you to touch.	這匹馬離圍籬太遠了，你摸不到。
The shorse is way out of reach. Which is probably a good thing!	那隻馬羊根本搆不到。這樣或許還比較好！
That block of iron is just a wee bit too heavy for you to cart around.	那塊鐵疙瘩對你來說重了那麼一點點，扛不動。
It's an anvil, cast of iron and really very heavy.	這是一座鐵鑄的鐵砧，真的非常重。
That street is staying right where it's been not paved.	那條街依然待在它一直沒鋪好的地方。
Balance Street leads to the north side of town between the bank and the saloon.	貝倫斯街通往鎮北，就夾在銀行和酒館之間。
The Bank's locked. That's odd! Where's P.H. Balance?	銀行鎖著。真奇怪！P·H·貝倫斯人跑哪去了？
It's night. The Bank is locked. You can either wait 'til morning when it opens again, or wait 95 years 'til they install a 24-hour ATM.	現在是晚上，銀行鎖著。你可以等到早上開門，或者乾脆等個九十五年，等他們裝上二十四小時提款機。
Here stands the only bank in town, The First Bank of Bob. The original owner must've had a hard time coming up with an original name for his establishment.	這裡矗立著鎮上唯一一間銀行——鮑伯第一銀行。當初的老闆一定是絞盡腦汁，才想出這麼有創意的店名。
You daringly insert your finger into the bullet hole for no good reason.	你毫無理由地大膽把手指伸進彈孔裡。
That bullet hole has been in the front window of the bank ever since that outlaw came through these parts way back in the demo.	打從那個亡命之徒在試玩版時代闖過這一帶開始，這個彈孔就一直留在銀行前面的窗戶上。
This is Reverend Sy Hallelujah's corral.	這是賽伊·哈利路亞牧師的圍欄。
As generous as he is, Reverend Hallelujah wouldn't appreciate your digging up his corral.	哈利路亞牧師人再怎麼大方，也不會樂見你把他的圍欄挖得亂七八糟。
For one brief shining moment, there truly was a place called "Cattle Lot!"	曾經，就那麼短暫又閃耀的一刻，真的有個地方叫做「牛群空地」！
You've already taken the really great charcoal hunks.	你已經拿走那些上等的大塊木炭了。
Digging through Smithie's formerly white-hot forge, you find an unused hunk of charcoal which you decide may well be of use to you. So you keep it.	你翻找鐵匠史密那座曾經燒得炙白的爐子，找到一塊沒用過的木炭，覺得這東西說不定派得上用場。於是你留了下來。
You better keep your hands outta that forge, Freddy... it's hotter than a Fresno roofer in August! (To use the local vernacular.)	佛萊迪，你最好別把手伸進那座爐子……那可比八月天在弗雷斯諾鋪屋頂的工人還燙！（借用一下當地的說法。）
Smithie's once-proud forge is cold and dark.	鐵匠史密那座昔日引以為傲的爐子，如今又冷又暗。
Smithie is proud to have the biggest forge in the Sierra!	鐵匠史密很自豪，他擁有整個內華達山區最大的爐子！
Hay is for horses.	乾草是給馬吃的。
Smithie keeps some hay baled up here, just for while the horses are in the shop.	鐵匠史密在這裡堆了些成捆的乾草，就是為了馬兒在店裡待著的時候用。
You bravely, stupidly grab ANOTHER steaming, fly-laden horse plop. This is getting old!	你既勇敢又愚蠢地又抓起了一坨熱騰騰、爬滿蒼蠅的馬糞。這招都用老了！
How convenient! There's another horse plop on the street. (Why don't people learn to curb their horses?)	真是方便！街上又有一坨馬糞。（怎麼都沒人學著管好自己的馬呢？）
Never approach a horse from the rear! (For several reasons, at least one of which is utterly disgusting.)	千萬別從後面靠近馬！（理由很多，至少有一個噁心到爆。）
Apparently, most of the lower half of the horse is in a chop shop somewhere in Los Angeles by now!	看樣子，這匹馬的下半身此刻大概已經在洛杉磯某間拆車廠裡了！
Poor girl! Did some vandals come by and strip you down?	可憐的女孩！是哪個惡霸跑來把妳扒光的嗎？
Stop being silly. No one can talk to a horse. (Of course.)	別傻了。沒有人能跟馬講話。（這是當然的。）
With his refurbished shootin' skills, Freddy wuz able to blast the Lever Brothers to smithereens! Now, with those varmints outta the way, Freddy'd figured that wuz the end of the story... that somehow the Lever Brothers wuz responsible for ever'thang that'd bin goin' on in town.	憑著重新練回來的槍法，佛萊迪把利華兄弟轟得粉身碎骨！這下子，那些惡棍總算解決了，佛萊迪原本以為故事就這麼結束了……以為鎮上發生的這一切，都是利華兄弟搞的鬼。
But Freddy wuz WRONG! The Lever Brothers had been hired fer the task of gittin' rid of Freddy, by whomever'd hired the cowhands... and whomever wuz in cahoots with Sheriff Shift and P.H. Balance! And no sooner had Freddy's guns stopped smokin', than he heard a familiar twang and a few chords o' someone's theme music.	但佛萊迪錯了！利華兄弟其實是被人雇來除掉佛萊迪的，雇用那些牛仔的人……正是跟席夫特警長和P·H·貝倫斯勾結的幕後黑手！佛萊迪的槍口硝煙才剛散去，就聽見一聲熟悉的琴弦聲，還有幾個屬於某人主題曲的和弦。
What was that? Could it be? Nah. What would he be doing way out here, in the middle of nowhere? You haven't heard that chord in years, and yet, here it is again, strangely recognizable after all this time.... In your heart, you know it must be him. And, yet...	那是什麼聲音？難道是……不會吧。他跑來這鳥不生蛋的地方幹嘛？你已經好幾年沒聽過那個和弦了，可它卻又出現了，過了這麼久，聽起來還是莫名地熟悉……你心裡明白，那一定是他。然而……
How did he find you? Will he be fooled by your disguise? Does he still eat paste?	他是怎麼找到你的？他會被你的偽裝騙過去嗎？他還在吃漿糊嗎？
Dummy Msg.	測試訊息。
What's that rotten smell? Oh, no! It can't be! You recognize that smell from your old days as a lawman... More dangerous than Jesse James... Meaner than Johnny Ringo... Deadlier than William Muny... (More fun at cocktail parties than Rooster Cogburn!) ...it's the legendary Lever Brothers!	那股腐臭味是什麼？噢，不！不會吧！你認得這股味道，那是你當年還是執法者時就熟悉的氣味……比傑西·詹姆斯還危險……比強尼·林戈還兇殘……比威廉·莫尼還致命……（在雞尾酒派對上還比魯斯特·科本更會炒熱氣氛！）……那就是傳說中的利華兄弟！
Dummy msg.	測試訊息。
Yep, it's us, handsome silver-eared stranger!	沒錯，是我們，你這位耳朵鑲銀的帥氣陌生人！
And we're here to put you six feet under!	我們是來送你入土為安的！
Under what?	在什麼底下？
Your fervent prayer is that your few minutes of target practice with Srini will be sufficient preparation for odds like this....	你在心裡拚命祈禱，跟斯里尼練的那幾分鐘打靶，足夠讓你應付眼前這種局面……
You tug on the rail, but it seems firmly planted.	你拉了拉欄杆，但它看起來牢牢固定著。
This is a good place to get hitched!	這裡正是拴馬——呃，喜結良緣的好地方！
The corner of Balance and Main isn't going anywhere. (At least, not until the next big earthquake hits California!)	平衡街和大街的路口哪兒也不會去。（至少要等加州下次大地震才會動！）
You're here at the busy corner of Balance Street, which runs north-south, and Main Street. Well, it's USUALLY busy. Well, it was busy once.	你現在站在平衡街（南北向）與大街交會的熱鬧路口。呃，通常很熱鬧啦。好吧，曾經熱鬧過。
Your shovel would break. And you'd get splinters in your hands and dirt in your eyes.	你的鏟子會斷掉，手上會扎滿木刺，眼睛裡還會進沙。
Funny, there's no answer from that.	奇怪，那東西沒有回應。
You take the rope. Now that Smithie's closed up shop, he won't be missing it.	你拿走了繩子。反正鐵匠史密已經關店走人，不會少這條繩子的。
Smithie left behind a coil of rope.	鐵匠史密留下了一捆繩子。
You can't reach him from here!	你這個角度碰不到他！
Matt Shaker is shaking his doormat out the window again. It's best not to walk underneath.	麥特·薛克又在窗邊甩門墊了，最好別站在下面。
Hey, Matt! Quit that! You're getting dust all over everything!	喂，麥特！別甩了！灰塵沾得到處都是！
Funny, Matt pays no attention to you.	奇怪，麥特根本沒理你。
You don't have a horse, whatta you need a saddle for?	你又沒有馬，要馬鞍幹嘛？
If this old worn-out saddle could only talk... it would probably complain about the prevalence of beans in the standard cowhand diet.	這副破舊的馬鞍要是會講話，大概會抱怨牛仔的伙食裡豆子放太多了。
From the condition of Coarsegold's sidewalks, it's easy to surmise the town lawyer left for greener pastures years ago!	看粗金鎮這人行道的慘狀，不難猜到鎮上的律師早幾年就跑去別處發財了！
You know it does no good to close the barn door once the Smithie's gone away!	鐵匠都走了，現在關門也於事無補！
Let Smithie decide if he wants his doors open or closed.	門要開要關，讓鐵匠史密自己決定吧。
Smithie has truly left town for good.	鐵匠史密是真的離開這個鎮了，不會再回來。
It's the door to Smithie's Blacksmith shop.	這是鐵匠史密打鐵舖的門。
I don't use none o' that moustache wax, Pharkas! I let muh soup keep muh moustache plastered in place!	俺才不用那種鬍子蠟，法卡斯！俺靠喝湯把鬍子黏得服服貼貼的！
Dab-nab it, Pharkas! Real men jes' don' go 'round a'touchin' other real men! 'Specially when they're as homophobic as we is!	該死，法卡斯！純爺們才不會到處亂摸別的爺們！尤其咱倆這麼恐同的傢伙！
Har! Muh hide's tough as leather, Pharkas. That thang'd just break off at the handle.	哈！俺這張皮跟牛皮一樣硬，法卡斯。那玩意兒只會斷在握把上。
Smithie, the village blacksmith, is a real hulk of humanity.	鐵匠史密是鎮上的打鐵匠，塊頭大得像座山。
Whut the Sam Hill y'expeck me to do with that medicine, Pharkas? I'm a strong, beefy kinda guy, I don't need no wuss medication!	你到底要俺拿那藥怎麼辦，法卡斯？俺可是個又壯又猛的漢子，才不需要那種軟腳藥！
I don' know nuttin' 'bout writin', Pharkas. That's more in your depar'ment.	俺對寫字這檔事一竅不通，法卡斯。那是你的專長。
You know, Smithie, I've been wondering about that horse of yours. What happened?	話說，史密，俺一直很好奇你那匹馬怎麼了？
Consarn neighborhood kids! Ya jes' can't leave anything outside at night any more without 'em strippin' it right down to the axles!	該死的鄰居小鬼！東西晚上放在外面，現在都會被扒得只剩車軸！
How's business, Smithie?	生意怎麼樣啊，史密？
Flatter'n cow plop, Pharkas! An' you?	比牛糞還扁，法卡斯！那你呢？
Actually, I'm doing okay. Not great, but I'm making it... in spite of this mild economic downturn we've been experiencing.	其實俺過得還行。不算好，但撐得下去……就算最近景氣有點差。
Bah! If'n I could find me a buyer, I'd unload this dump in a second!	哼！要是找得到買主，俺立刻把這破地方脫手！
Whoa! Thank ya, Mr. Pharkas. I always love a belt about this time o' the mornin'!	哇！謝了，法卡斯先生。俺這時間就愛來一口！
You recall with fondness, that wonderful old blacksmith who used to operate this shop. What the hell was his name, anyway?	你懷念地想起以前在這開店的那位老鐵匠。他到底叫什麼名字來著？
"Under the village chestnut tree, the spreading smithie stands..." ...No wait, that's not how it goes.	「村中栗樹下，枝繁葉茂的鐵匠站著……」……不對，不是這樣唱的。
Mr. Smith, the village blacksmith, is locally known as "Smithie" to his friends and customers.	史密斯先生，鎮上的鐵匠，朋友和顧客都叫他「史密」。
To the best of your recollection, you've never even heard his first name, not that it matters much. "Smithie" seems like a perfect name for a smithie!	就你印象所及，你從沒聽過他的名字，不過也無所謂。「史密」這名字給鐵匠正合適！
Hey, knock off the sound effects already!	喂，音效可以停了吧！
You take the leather strap. Smithie won't be needing it now, wherever he is!	你拿走了皮帶。鐵匠史密不管人在哪，反正都用不著了！
A length of leather bridle hangs on the Smithie's door.	一條皮製馬轡掛在鐵匠舖的門上。
Feels just like the streets of St. Louis... only some of the streets of St. Louis are paved!	感覺就像聖路易的街道……只不過聖路易好歹有幾條街鋪了路！
Once Coarsegold's brave pioneer settlers predicted Main Street would rival the Champs d'Elysee, Van Ness Boulevard, or Broadway. Now it rivals the Oregon Trail and is about as smooth!	粗金鎮當年勇敢的拓荒者曾預言，大街將媲美香榭麗舍大道、凡尼斯大道，甚至百老匯。如今它倒是媲美奧勒岡小徑，路面一樣顛簸！
There's nobody buried under the street here. (After all, this is when the word Teamsters began with a lowercase T!)	這條街底下沒埋人。（畢竟那年頭，趕車工會還只是個老實行業，可沒黑道傳聞！）
You don't need any algae.	你不需要什麼藻類。
Horses always appreciate a drink of nice fresh water from these green slimy troughs.	馬兒總喜歡從這些綠油油、黏答答的水槽裡喝口新鮮水。
It's just an old wreck. It won't help you.	這只是個破爛殘骸，幫不上你的忙。
This wagon has been lying here in this sad state of disrepair ever since Mr. Leech, the carriage-maker, headed back East to Detroit.	自從馬車工匠利奇先生回東岸底特律後，這輛馬車就一直癱在這兒，破爛成這副慘樣。
Oooph!	唔喔！
You've always assumed the Golden Balls Saloon must once have been a pawn shop.	你一直以為金球酒館以前八成是間當舖。
You leave that Saloon right where it is, buckaroo.	那間酒館你就讓它待在原地吧，牛仔老兄。
Mom's Cafe must have good food-- it's where all the stagecoaches stop!	老媽餐館的菜一定不錯——所有驛馬車都在這兒停靠！
You can't reach it from here, but you can just see that thin layer of cooking grease glistening off the building.	你這裡搆不著，但可以看到那層薄薄的油光在建築物上閃閃發亮。
Peering through Mom's greasy glass, you can see she's open for business. You've always been fond of Mom's cooking... at least, the first time it goes down!	透過老媽那油膩膩的玻璃窗望進去，看得出她還在營業。你一直很喜歡老媽的手藝……至少第一口吞下去的時候是這樣！
You feel a twinge of guilt, knowing you were at least partially responsible for Mom's closing. You vow to make it up to her, somehow.	你隱隱感到愧疚，畢竟老媽餐館歇業多少跟你脫不了關係。你發誓總有一天要補償她。
If Mom catches you smearing her windows, she'll smear your face.	要是被老媽逮到你亂抹她的窗戶，她會把你的臉也抹一頓。
Rain barrels are such an important aspect of life in an arid, drought-scourged landscape like this. Water running off the buildings' roofs is channeled through gutters and downspouts into storage... Oh, wait a minute. This is just an old whisky barrel. Forget it!	在這種乾旱缺水的地方，集雨桶可是生活中不可或缺的一環。屋頂的雨水經由排水溝和落水管收集儲存……喔，等等。這只是個舊威士忌桶。當我沒說！
No, no, no! |c2|Tuesday|c| is your turn in the barrel!	不、不、不！|c2|星期二|c|才輪到你進桶子！
You do your "Peeping Freddy" routine with the Hotel window. Furtive shadows steal across the walls inside. What little light seeps into the Hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)	你對著旅館窗戶來一段「偷窺佛萊迪」戲碼。鬼鬼祟祟的影子在牆上晃過，透進屋內的微光曖昧地勾勒出模糊的形體。（噁心到有詩意了！）
You address the hotel window:	你對旅館窗戶說道：
You've made yourself perfectly clear! Hee hee hee!	你表達得再清楚不過了！嘿嘿嘿！
(You're losing it, Freddy.)	（你快瘋了，佛萊迪。）
Rubbing your finger on the hotel window barely removes any dirt. (Apparently there was more dirt going on INside than OUTside!)	你用手指抹了抹旅館窗戶，幾乎抹不掉什麼髒污。（看來裡頭發生的骯髒事，比外面的灰塵還多！）
You really can't reach that window from here. But hey, a Pharmacist's reach should exceed his grasp!	你這裡真的搆不到那扇窗戶。不過話說回來，藥師的野心本該超越自己的臂長！
It's locked, stock and barrel!	鎖得死死的，一點縫都沒有！
Your arms aren't quite that long!	你的手臂沒那麼長！
Mom's Cafe awaits the hearty traveler who has a thing for good food-- but isn't afraid to eat here anyway!	老媽餐館正等著那些愛吃美食——卻又不怕死照樣進來吃的硬漢旅人！
A crudely-lettered sign reads, "Mom's's Cafe's dun bin closed by order of the sheriff. Health Code violations is all the reason he needs!"	一塊字跡潦草的告示寫著：「老媽餐館已依警長命令歇業。違反衛生法規，理由夠充分！」
Mom's closes up at night, ever since the Great Kerosene Shortage of '85.	自從八五年那場煤油大缺貨後，老媽餐館晚上就不營業了。
Heeeelllloooooow!	哈──囉──！
But there is no response from within Mom's Cafe.	但老媽餐館裡沒有任何回應。
Mom! I'm hungry!	老媽！我餓了！
From inside, you hear Mom reply, "You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!"	你聽見老媽從裡面回話：「你會消化不良的！這麼晚吃東西不好！明天再來吧！」
It's locked! Mom's is closed! Sheriff Shift strikes again! (And stomachs all over town are heaving... sighs of relief!)	鎖住了！老媽餐館關門了！席夫特警長又出手了！（全鎮的胃都在翻騰……鬆一口氣的那種翻騰！）
Mom's seems to be locked.	老媽餐館似乎鎖住了。
Going to swing down like Tarzan? Wrong kinda movie!	想學泰山盪下去？你認錯片場了！
The Golden Balls Saloon is presently open. Since it only has swinging doors, it's ALWAYS open!	金球酒館目前是開著的。反正它只有一扇彈簧門，永遠都是開著的！
The remains of the Sugar Pine & Coarsegold's Engineer's Shack lie rotting on the south side of Main Street.	「糖松與粗金鎮鐵路」工程師小屋的殘骸，在大街南側逐漸腐朽。
Don't go poking in that hazardous eyesore. (The same warning applies to the Brothel!)	別去戳那個危險的眼中釘。（這句警告對妓院也一樣適用！）
These hitching posts serve as an excellent means of stabilizing unmanned horses.	這些拴馬柱可是固定無人看管馬匹的絕佳工具。
You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, not the post.)	你朝柱子俐落地劈了一記手刀。太好了！再來一兩下就會徹底斷掉。（斷的是你的手，不是柱子。）
Peering between every crack in the hotel's board sidewalk makes you 'board' yourself!	盯著旅館木板人行道的每道縫隙看，看得你都要「木」然了！
You rip the porch off of the hotel and put it in your pocket, just in case you need a porch later in the game. Kidding. Just a little adventure game humor there. Don't bother looking in your inventory.	你把旅館的門廊拆下來塞進口袋，以防遊戲後面用得到門廊。開玩笑的啦，不過是冒險遊戲的老哏。別費心去道具欄找了。
You can't reach the porch from here.	你這裡搆不到門廊。
Ah, many's the young cowpoke who had to quickly lower himself off of this balcony with a bunch of knotted sheets. (Usually stark nekkid!)	啊，不少年輕牛仔曾靠著打結的床單，匆忙從這陽台溜下去。（而且通常是一絲不掛！）
Considering all the abuse given to this balcony over the years from stuntmen, it's in surprisingly good shape.	想想這些年特技演員對這陽台的各種摧殘，它的狀況出乎意料地好。
Mom's front porch is almost as large as her rear entry.	老媽餐館的前門廊，幾乎跟她的後門一樣大。
Poor Mom. You almost wish you hadn't dumped that horse patty inside her eating area. But-- you vow to make it up to her somehow!	可憐的老媽。你幾乎後悔把那坨馬糞丟進她的用餐區。不過——你發誓總有一天會補償她！
Many an early-morning customer of yours has spent the night sleeping on these well-stained boards.	你不少一大早上門的顧客，前一晚都是睡在這片滿是污漬的木板上。
They hang porch-rustlers in these parts.	這一帶，偷門廊的人是要被吊死的。
The door to the Hotel is locked. The hotel was shut down unexpectedly. This put a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)	旅館的門鎖著。這間旅館無預警歇業，害兩名櫃檯人員和五位「服務小姐」都丟了飯碗。（幸好沒請女傭，不然也一起被炒魷魚！）
Anybody in there?	有人在裡面嗎？
There's no response.	沒有回應。
Okay, I'll take that as a "no!"	好吧，俺就當作是「沒有」了！
You yank the knob a few times, but nothing happens. Then you try to open the door to the closed Hotel. No luck there, either.	你扭了幾次門把，什麼事也沒發生。接著你試著推開這間停業旅館的門，一樣沒用。
That would be quite a trick... opening the Hotel door from the balcony. You're not quite up to it. (Or down to it, as the case may be!)	從陽台開旅館大門，那可是個大絕活……你可沒那本事。（或者該說，沒那個「高」度！）
Once the heart of a thriving business district, there's not much left of beautiful downtown Coarsegold now.	這裡曾是繁華商圈的心臟地帶，如今粗金鎮的美麗市中心，也沒剩下什麼了。
Und chust how long haf you had zees desire to talk mit inanimate objects?	那麼，你這種想跟死物講話的癖好，到底有多久了，嗯？
It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless"?)	這正是粗金鎮那種「無價」氛圍的一部分！（還是該說「一文不值」？）
The ground is too hard-packed here.	這裡的地面太硬，踩得死死的。
Sam Andreas has a tough time keeping these large plate glass windows intact, since he's developed a habit of throwing rowdies out through them!	山姆·安德列斯很難讓這些大片玻璃窗保持完整，畢竟他養成了把鬧事的傢伙直接扔出窗外的習慣！
Careful, you never know when some airborne wino is going to come flying outta that window.	小心點，你永遠不知道什麼時候會有個醉漢從那扇窗飛出來。
Now there's a guy who's in constant pane!	這下這傢伙，真是痛（窗）苦不堪啊！
Poor fellow. It doesn't pay to pick a fight with Sam Andreas!	可憐的傢伙。跟山姆·安德列斯打架真的不划算！
There's no use talking to him. He's out cold.	跟他講話沒用，他已經昏過去了。
You'd like to help him. But he IS full of shards of glass, and you HATE the sight of blood!	你是想幫他啦。但他身上插滿玻璃碎片，而你最怕看到血了！
He doesn't need anything except a lifetime supply of Mercurochrome!	他什麼都不需要，只需要一輩子份量的紅藥水！
The window has been smashed into teeny weeny pieces. Fortunately, Sam has the foresight to install Safety Glass!	這扇窗被砸成細碎小片。幸好山姆有先見之明，裝的是安全玻璃！
Cutting yourself on the sharp edges of the broken window might make for some memorably disgusting animation, but it would also be an incredibly stupid thing for you to do.	被碎玻璃的尖銳邊緣割傷，或許能做出一段令人印象深刻的噁心動畫，但這麼做真的蠢到家了。
Poor Sam Andreas! It's a good thing he waters down his whisky so much, or else all of his profits would be consumed by glaziers.	可憐的山姆·安德列斯！還好他的威士忌摻水摻得夠兇，不然賺的錢全都要拿去付玻璃工的錢了。
You are surprised to see Billy, the town handyman, boarding up The Dirty Sheet Hotel.	你驚訝地看到鎮上的雜工比利，正在把「髒床單旅館」的門窗釘上木板。
Don't you find it frustrating to keep replacing that plate glass, Billy?	比利，老是要換那片玻璃，你不覺得很煩嗎？
Nope. I find it a real crack-up.	不會啊，俺覺得挺「破」有意思的。
Billy, the town handyman and jack-of-all-trades, is boarding up yet another Coarsegold business, the "Dirty Sheets Hotel," the finest hostelry in all of Eastern Madera County. (Okay, so maybe it was only the best after that other hotel shut down, but in its day, The Dirty Sheet was really something!)	比利，鎮上的萬能雜工，又在把粗金鎮另一家店面釘上木板——「髒床單旅館」，馬德拉郡東部最高檔的旅店。（好吧，其實是等另一家旅館關門後才變最高檔的，不過「髒床單」當年可真是了不起！）
Say, Billy! When did the ol' Dirty Sheet fold?	欸，比利！那間老「髒床單」是什麼時候倒的？
Oh, g'mornin' Mr. Pharkas. Why, just yestaday. It was a surprise to me too. Nobody told me nuttin' 'bout it until they gave me these boards.	喔，早安啊，法卡斯先生。就昨天的事。俺也是嚇了一跳，誰都沒跟俺說，直到他們把這些木板塞給俺。
I'd like to shake your hand, Billy. You are doing a fine job!	俺想跟你握個手，比利。你做得很好！
He looks at you a little funny.	他用有點奇怪的眼神看著你。
Here, Billy!	拿去，比利！
No thanks, Mr. Pharkas! I've already got one of those!	不用了，謝了，法卡斯先生！俺已經有一個了！
Shhhyeah, right.	是喔，隨便你說。
